Date,Price,Open,High,Low,Volume,Chg%
14-06-2021,48318,48680.0,48680.0,47962.0,23420.0,-0.82
15-06-2021,48230,48310.0,48495.0,48180.0,13380.0,-0.18
16-06-2021,48279,48240.0,48355.0,48181.0,10100.0,0.1
17-06-2021,46781,48205.0,48205.0,46628.0,32070.0,-3.1
18-06-2021,46592,46860.0,47187.0,46526.0,17880.0,-0.4
21-06-2021,46904,46800.0,46960.0,46482.0,17130.0,0.67
22-06-2021,46838,46981.0,47068.0,46721.0,14670.0,-0.14
23-06-2021,46921,46915.0,47123.0,46799.0,12030.0,0.18
24-06-2021,46701,46850.0,46997.0,46638.0,14040.0,-0.47
25-06-2021,46757,46839.0,47050.0,46637.0,16690.0,0.12
28-06-2021,46821,46400.0,46959.0,46400.0,15550.0,0.14
29-06-2021,46438,46719.0,46809.0,46202.0,5170.0,-0.82
30-06-2021,46817,46448.0,46858.0,46372.0,830.0,0.82
01-07-2021,46985,46882.0,47999.0,46837.0,120.0,0.36
02-07-2021,47286,47200.0,47553.0,47200.0,200.0,0.64
05-07-2021,47567,47800.0,48704.0,47075.0,30.0,0.59
06-07-2021,47694,47418.0,47971.0,47418.0,22960.0,0.27
07-07-2021,47887,47779.0,47963.0,47669.0,13920.0,0.4
08-07-2021,47735,47814.0,48244.0,47650.0,25700.0,-0.32
09-07-2021,47898,47798.0,47922.0,47621.0,15170.0,0.34
12-07-2021,47768,47750.0,47849.0,47503.0,17040.0,-0.27
13-07-2021,47887,47865.0,48035.0,47710.0,18880.0,0.25
14-07-2021,48265,47954.0,48320.0,47902.0,18330.0,0.79
15-07-2021,48358,48290.0,48460.0,48150.0,16070.0,0.19
16-07-2021,48040,48330.0,48375.0,47980.0,17430.0,-0.66
19-07-2021,48069,48132.0,48200.0,47786.0,17250.0,0.06
20-07-2021,47861,48170.0,48247.0,47788.0,19090.0,-0.43
21-07-2021,47584,47790.0,47790.0,47518.0,8420.0,-0.58
22-07-2021,47624,47518.0,47670.0,47320.0,15980.0,0.08
23-07-2021,47521,47560.0,47700.0,47333.0,14170.0,-0.22
26-07-2021,47455,47615.0,47770.0,47430.0,13070.0,-0.14
27-07-2021,47551,47449.0,47609.0,47364.0,12870.0,0.2
28-07-2021,47535,47640.0,47650.0,47411.0,8780.0,-0.03
29-07-2021,48210,47720.0,48250.0,47713.0,13670.0,1.42
30-07-2021,47901,48239.0,48254.0,47830.0,2650.0,-0.64
02-08-2021,47937,48094.0,48172.0,47720.0,170.0,0.08
03-08-2021,47854,47820.0,48168.0,47760.0,70.0,-0.17
04-08-2021,47872,47950.0,48300.0,47739.0,40.0,0.04
05-08-2021,47959,47870.0,48199.0,47790.0,30.0,0.18
06-08-2021,46682,47550.0,47571.0,46621.0,23200.0,-2.66
09-08-2021,45949,46600.0,46600.0,45860.0,21360.0,-1.57
10-08-2021,45936,46089.0,46148.0,45708.0,16300.0,-0.03
11-08-2021,46351,46029.0,46396.0,45915.0,15300.0,0.9
12-08-2021,46335,46288.0,46518.0,46160.0,12510.0,-0.03
13-08-2021,46886,46400.0,46925.0,46370.0,13880.0,1.19
16-08-2021,47138,46900.0,47190.0,46761.0,12470.0,0.54
17-08-2021,47206,47132.0,47455.0,47106.0,12460.0,0.14
18-08-2021,47069,47324.0,47344.0,46965.0,11510.0,-0.29
19-08-2021,47119,47150.0,47422.0,47027.0,9100.0,0.11
20-08-2021,47110,47199.0,47286.0,47011.0,9430.0,-0.02
23-08-2021,47511,47170.0,47549.0,47100.0,12350.0,0.85
24-08-2021,47532,47493.0,47634.0,47405.0,9450.0,0.04
25-08-2021,47108,47351.0,47398.0,47025.0,10430.0,-0.89
26-08-2021,47163,47125.0,47285.0,46877.0,9960.0,0.12
27-08-2021,47416,47312.0,47480.0,46777.0,13590.0,0.54
30-08-2021,47049,47276.0,47466.0,47005.0,3010.0,-0.77
31-08-2021,47060,47220.0,47260.0,46800.0,190.0,0.02
01-09-2021,47093,47060.0,47599.0,46964.0,60.0,0.07
02-09-2021,47048,47142.0,47243.0,46929.0,20.0,-0.1
03-09-2021,47342,47299.0,47500.0,47295.0,10.0,0.62
06-09-2021,47450,47534.0,47534.0,47402.0,5740.0,0.23
07-09-2021,46989,47469.0,47469.0,46910.0,16580.0,-0.97
08-09-2021,47072,47047.0,47170.0,46800.0,12500.0,0.18
09-09-2021,47021,46984.0,47128.0,46770.0,14580.0,-0.11
10-09-2021,46858,46987.0,47030.0,46810.0,6110.0,-0.35
13-09-2021,46946,46930.0,47060.0,46800.0,12220.0,0.19
14-09-2021,47267,46924.0,47325.0,46672.0,21080.0,0.68
15-09-2021,46949,47247.0,47281.0,46920.0,14360.0,-0.67
16-09-2021,46120,46984.0,46984.0,45876.0,24980.0,-1.77
17-09-2021,46025,46090.0,46263.0,45903.0,13910.0,-0.21
20-09-2021,46297,46020.0,46395.0,45913.0,14800.0,0.59
21-09-2021,46641,46297.0,46798.0,46163.0,17710.0,0.74
22-09-2021,46682,46663.0,46765.0,46575.0,9690.0,0.09
23-09-2021,46083,46521.0,46550.0,45964.0,18760.0,-1.28
24-09-2021,45995,46100.0,46146.0,45805.0,12760.0,-0.19
27-09-2021,46064,46135.0,46215.0,45910.0,14400.0,0.15
28-09-2021,45819,46008.0,46072.0,45679.0,17770.0,-0.53
29-09-2021,45550,45842.0,45960.0,45488.0,7360.0,-0.59
30-09-2021,46221,45790.0,46377.0,45507.0,310.0,1.47
01-10-2021,46315,46303.0,46360.0,46125.0,190.0,0.2
04-10-2021,46618,46299.0,46640.0,46209.0,50.0,0.65
05-10-2021,46459,46556.0,46557.0,46345.0,20.0,-0.34
06-10-2021,46781,46550.0,46874.0,46451.0,14920.0,0.69
07-10-2021,46737,46747.0,46869.0,46612.0,11490.0,-0.09
08-10-2021,46922,46740.0,47225.0,46702.0,19610.0,0.4
11-10-2021,46941,46910.0,47090.0,46750.0,10000.0,0.04
12-10-2021,47097,47025.0,47280.0,46941.0,14250.0,0.33
13-10-2021,47753,47060.0,47845.0,47024.0,23580.0,1.39
14-10-2021,47748,47682.0,47954.0,47651.0,12460.0,-0.01
15-10-2021,47106,47706.0,47706.0,47015.0,13810.0,-1.34
18-10-2021,47186,47200.0,47295.0,47077.0,14020.0,0.17
19-10-2021,47196,47199.0,47525.0,47140.0,14500.0,0.02
20-10-2021,47380,47260.0,47449.0,47174.0,14480.0,0.39
21-10-2021,47314,47430.0,47460.0,47250.0,11820.0,-0.14
22-10-2021,47668,47439.0,48050.0,47375.0,20490.0,0.75
25-10-2021,48030,47770.0,48140.0,47730.0,10400.0,0.76
26-10-2021,47680,47996.0,48125.0,47480.0,12420.0,-0.73
27-10-2021,47804,47690.0,47870.0,47500.0,11680.0,0.26
28-10-2021,47777,47889.0,48039.0,47610.0,4590.0,-0.06
29-10-2021,47502,47669.0,47862.0,47350.0,630.0,-0.58
01-11-2021,47692,47649.0,47850.0,47510.0,100.0,0.4
02-11-2021,47683,47866.0,47939.0,47600.0,20.0,-0.02
03-11-2021,46961,47550.0,47550.0,46839.0,40.0,-1.51
04-11-2021,47559,47147.0,47592.0,47147.0,5710.0,1.27
05-11-2021,47959,47520.0,47990.0,47315.0,13760.0,0.84
08-11-2021,48025,48000.0,48144.0,47821.0,14860.0,0.14
09-11-2021,48263,48034.0,48280.0,47981.0,15130.0,0.5
10-11-2021,48857,48250.0,49244.0,48166.0,27480.0,1.23
11-11-2021,49208,48983.0,49349.0,48900.0,15050.0,0.72
12-11-2021,49277,49087.0,49300.0,48872.0,16510.0,0.14
15-11-2021,49269,49170.0,49436.0,49081.0,14670.0,-0.02
16-11-2021,49038,49294.0,49579.0,49004.0,21990.0,-0.47
17-11-2021,49262,49069.0,49288.0,48976.0,13310.0,0.46
18-11-2021,49047,49200.0,49237.0,48960.0,13690.0,-0.44
19-11-2021,48829,49101.0,49275.0,48705.0,13290.0,-0.44
22-11-2021,47963,48782.0,48900.0,47910.0,22470.0,-1.77
23-11-2021,47460,48001.0,48050.0,47400.0,16920.0,-1.05
